id,title,url
8351,Create Research Backed Articles With Ai Planning Linkup Search And Gpt 5,https://n8n.io/workflows/8351-create-research-backed-articles-with-ai-planning-linkup-search-and-gpt-5/
8344,Analyze Bakery Sales And Inventory With Google Sheets And Azure Gpt Chat Assistant,https://n8n.io/workflows/8344-analyze-bakery-sales-and-inventory-with-google-sheets-and-azure-gpt-chat-assistant/
8313,Financial Reporting Ai Concise Sec 10 K10 Q Briefs Via Openrouter Perplexity,https://n8n.io/workflows/8313-financial-reporting-ai-concise-sec-10-k10-q-briefs-via-openrouter-perplexity/
8312,Automate Document Ingestion And Rag System With Google Drive Sheets And Openai,https://n8n.io/workflows/8312-automate-document-ingestion-and-rag-system-with-google-drive-sheets-and-openai/
8289,Generate Research Backed Seo Content Briefs With Openai And Firecrawl To Google Docs,https://n8n.io/workflows/8289-generate-research-backed-seo-content-briefs-with-openai-and-firecrawl-to-google-docs/
8272,Dynamic Mcp Server Selection With Openai Gpt 41 And Contextual Ai Reranker,https://n8n.io/workflows/8272-dynamic-mcp-server-selection-with-openai-gpt-41-and-contextual-ai-reranker/
8267,Automate Twitter Content With Trend Analysis Using Openai Gpt And Mcp,https://n8n.io/workflows/8267-automate-twitter-content-with-trend-analysis-using-openai-gpt-and-mcp/
8245,Build A Rag Knowledge Chatbot With Openai Google Drive And Supabase,https://n8n.io/workflows/8245-build-a-rag-knowledge-chatbot-with-openai-google-drive-and-supabase/
8220,Answer Questions About Documentation With Bigquery Rag And Openai,https://n8n.io/workflows/8220-answer-questions-about-documentation-with-bigquery-rag-and-openai/
8218,Web Research Assistant Automated Search And Scraping With Gemini Ai And Spreadsheet Reports,https://n8n.io/workflows/8218-web-research-assistant-automated-search-and-scraping-with-gemini-ai-and-spreadsheet-reports/
8200,Google Drive To Supabase Contextual Vector Database Sync For Rag Applications,https://n8n.io/workflows/8200-google-drive-to-supabase-contextual-vector-database-sync-for-rag-applications/
8196,Automated Customer Support System With Gmail Gpt 4 And Vector Knowledge Base,https://n8n.io/workflows/8196-automated-customer-support-system-with-gmail-gpt-4-and-vector-knowledge-base/
8157,Transform Websites Into A Conversational Knowledge Base With Openai Rag And Supabase,https://n8n.io/workflows/8157-transform-websites-into-a-conversational-knowledge-base-with-openai-rag-and-supabase/
8147,Document Qanda Chatbot With Google Drive Gpt 4 Mini And Telegram Rag System,https://n8n.io/workflows/8147-document-qanda-chatbot-with-google-drive-gpt-4-mini-and-telegram-rag-system/
8081,Complete Airtable Database Management With Ai Agents And Redis Storage,https://n8n.io/workflows/8081-complete-airtable-database-management-with-ai-agents-and-redis-storage/
8008,Smarter Rag Agents With Enriched Retrieval And Modular Workflows,https://n8n.io/workflows/8008-smarter-rag-agents-with-enriched-retrieval-and-modular-workflows/
7979,Chat With Google Drive Documents Using Gpt Pinecone And Rag,https://n8n.io/workflows/7979-chat-with-google-drive-documents-using-gpt-pinecone-and-rag/
7966,Website Content Chatbot With Pinecone Airtable And Openai For Rag Applications,https://n8n.io/workflows/7966-website-content-chatbot-with-pinecone-airtable-and-openai-for-rag-applications/
7946,Evaluate Hybrid Search For Legal Question Answering Using Qdrant And Bm25Mxbai,https://n8n.io/workflows/7946-evaluate-hybrid-search-for-legal-question-answering-using-qdrant-and-bm25mxbai/
7945,Index Legal Documents For Hybrid Search With Qdrant Openai And Bm25,https://n8n.io/workflows/7945-index-legal-documents-for-hybrid-search-with-qdrant-openai-and-bm25/
7937,Ai Powered Zendesk Support Responses With Rag Openai And Supabase Knowledge Base,https://n8n.io/workflows/7937-ai-powered-zendesk-support-responses-with-rag-openai-and-supabase-knowledge-base/
7917,Web Research Automation With Structured Data And Screenshots Using Firecrawl And Openai,https://n8n.io/workflows/7917-web-research-automation-with-structured-data-and-screenshots-using-firecrawl-and-openai/
7907,Create Fact Based Articles From Your Knowledge Sources With Super Rag And Gpt 5,https://n8n.io/workflows/7907-create-fact-based-articles-from-your-knowledge-sources-with-super-rag-and-gpt-5/
7890,Create Recurring Ai Powered Data Digests In Slack With Super Assistant,https://n8n.io/workflows/7890-create-recurring-ai-powered-data-digests-in-slack-with-super-assistant/
7882,Process Documents And Build Semantic Search With Openai Gemini And Qdrant,https://n8n.io/workflows/7882-process-documents-and-build-semantic-search-with-openai-gemini-and-qdrant/
7779,Build An Advanced Multi Query Rag System With Supabase And Gpt 5,https://n8n.io/workflows/7779-build-an-advanced-multi-query-rag-system-with-supabase-and-gpt-5/
7745,Hr Policy Retrieval Using Slack S3 And Gpt 41 Mini With Rag,https://n8n.io/workflows/7745-hr-policy-retrieval-using-slack-s3-and-gpt-41-mini-with-rag/
7722,Answer Code Of Conduct Questions In Slack With Gpt 4 And Rag Technology,https://n8n.io/workflows/7722-answer-code-of-conduct-questions-in-slack-with-gpt-4-and-rag-technology/
7717,Build A Pdf Qanda System With Llamaindex Openai Embeddings And Pinecone Vector Db,https://n8n.io/workflows/7717-build-a-pdf-qanda-system-with-llamaindex-openai-embeddings-and-pinecone-vector-db/
7670,Natural Language Qanda For Pipedrive Leads Using Gpt 4O Mini,https://n8n.io/workflows/7670-natural-language-qanda-for-pipedrive-leads-using-gpt-4o-mini/
7669,Query Slack Channel History With Natural Language Using Openai,https://n8n.io/workflows/7669-query-slack-channel-history-with-natural-language-using-openai/
7667,Pdf Proposal Knowledge Base With S3 Openai Gpt 4O And Qdrant Rag Agent,https://n8n.io/workflows/7667-pdf-proposal-knowledge-base-with-s3-openai-gpt-4o-and-qdrant-rag-agent/
7662,Automated Document Compliance Validation With Ai And Vector Database,https://n8n.io/workflows/7662-automated-document-compliance-validation-with-ai-and-vector-database/
7647,Build A Self Updating Rag System With Openai Google Gemini Qdrant And Google Drive,https://n8n.io/workflows/7647-build-a-self-updating-rag-system-with-openai-google-gemini-qdrant-and-google-drive/
7639,Talk To Your Google Sheets Using Chatgpt 5,https://n8n.io/workflows/7639-talk-to-your-google-sheets-using-chatgpt-5/
7631,Ai Customer Support Chat For Web Hosting With Google Gemini And Whmcs,https://n8n.io/workflows/7631-ai-customer-support-chat-for-web-hosting-with-google-gemini-and-whmcs/
7600,Search Outlook Emails With Natural Language Queries Using Gpt 4O,https://n8n.io/workflows/7600-search-outlook-emails-with-natural-language-queries-using-gpt-4o/
7563,Create A Company Policy Chatbot With Rag Pinecone Vector Database And Openai,https://n8n.io/workflows/7563-create-a-company-policy-chatbot-with-rag-pinecone-vector-database-and-openai/
7561,Customer Support Chatbot With Rag Using Openai And Pinecone,https://n8n.io/workflows/7561-customer-support-chatbot-with-rag-using-openai-and-pinecone/
7508,Ai Voice And Text Note Taking With Line Messaging Supabase Vector Db And Gmail,https://n8n.io/workflows/7508-ai-voice-and-text-note-taking-with-line-messaging-supabase-vector-db-and-gmail/
7506,Auto Respond To Slack Messages With Gpt And Pinecone Vector Rag Context,https://n8n.io/workflows/7506-auto-respond-to-slack-messages-with-gpt-and-pinecone-vector-rag-context/
7486,Generate Business Requirement Documents With Multi Agent Gpt And Google Workspace,https://n8n.io/workflows/7486-generate-business-requirement-documents-with-multi-agent-gpt-and-google-workspace/
7475,Optimize Unstructured Data For Rag With Blockify Ideablocks Technology,https://n8n.io/workflows/7475-optimize-unstructured-data-for-rag-with-blockify-ideablocks-technology/
7449,Talk To Your Google Sheets Using Chatgpt 5,https://n8n.io/workflows/7449-talk-to-your-google-sheets-using-chatgpt-5/
7362,Build Academic Knowledge Graph From Research Papers With Pdf Vector Gpt 4 And Neo4J,https://n8n.io/workflows/7362-build-academic-knowledge-graph-from-research-papers-with-pdf-vector-gpt-4-and-neo4j/
7360,Academic Research Search Across Five Databases With Pdf Vector And Multiple Exports,https://n8n.io/workflows/7360-academic-research-search-across-five-databases-with-pdf-vector-and-multiple-exports/
7052,Client Faq Bot With Rag Using Google Drive Pdfs And Azure Gpt 4O Mini,https://n8n.io/workflows/7052-client-faq-bot-with-rag-using-google-drive-pdfs-and-azure-gpt-4o-mini/
6994,Build A Retrieval Based Chatbot With Telegram Openai And Google Drive Pdf Backup,https://n8n.io/workflows/6994-build-a-retrieval-based-chatbot-with-telegram-openai-and-google-drive-pdf-backup/
6972,Build Comprehensive Entity Profiles With Gpt 4 Wikipedia And Vector Db For Content,https://n8n.io/workflows/6972-build-comprehensive-entity-profiles-with-gpt-4-wikipedia-and-vector-db-for-content/
6961,Vision Rag And Image Embeddings Using Cohere Command A And Embed V4,https://n8n.io/workflows/6961-vision-rag-and-image-embeddings-using-cohere-command-a-and-embed-v4/
6894,Chat With Internal Documents Using Ollama Supabase Vector Db And Google Drive,https://n8n.io/workflows/6894-chat-with-internal-documents-using-ollama-supabase-vector-db-and-google-drive/
6887,Enhance Ai Chatbot Responses With Infranodus Knowledge Graph Reasoning And Graphrag,https://n8n.io/workflows/6887-enhance-ai-chatbot-responses-with-infranodus-knowledge-graph-reasoning-and-graphrag/
6829,Build Persistent Chat Memory With Gpt 4O Mini And Qdrant Vector Database,https://n8n.io/workflows/6829-build-persistent-chat-memory-with-gpt-4o-mini-and-qdrant-vector-database/
6824,Automate Seo Tasks With Google Search Console And Ai Via Mcp Server,https://n8n.io/workflows/6824-automate-seo-tasks-with-google-search-console-and-ai-via-mcp-server/
6823,Ai Powered Stock Analysis With Ai Scoring And Gmail Report Delivery,https://n8n.io/workflows/6823-ai-powered-stock-analysis-with-ai-scoring-and-gmail-report-delivery/
6822,Automate Web Research With Gpt 4 Claude And Apify For Content Analysis And Insights,https://n8n.io/workflows/6822-automate-web-research-with-gpt-4-claude-and-apify-for-content-analysis-and-insights/
6819,Document Qanda System With Voyage Context 3 Embeddings And Mongodb Atlas,https://n8n.io/workflows/6819-document-qanda-system-with-voyage-context-3-embeddings-and-mongodb-atlas/
6818,Build An Ai Chatbot With Infranodus Knowledge Graph For Enhanced Responses,https://n8n.io/workflows/6818-build-an-ai-chatbot-with-infranodus-knowledge-graph-for-enhanced-responses/
6816,Create Custom Reasoning Patterns For Ai Agents With Graphrag And Knowledge Ontology,https://n8n.io/workflows/6816-create-custom-reasoning-patterns-for-ai-agents-with-graphrag-and-knowledge-ontology/
6771,Whatsapp Rag Chatbot With Supabase Gemini 25 Flash And Openai Embeddings,https://n8n.io/workflows/6771-whatsapp-rag-chatbot-with-supabase-gemini-25-flash-and-openai-embeddings/
6754,Scrape And Analyze Websites With Custom Prompts Using Gemini Apify And Langchain,https://n8n.io/workflows/6754-scrape-and-analyze-websites-with-custom-prompts-using-gemini-apify-and-langchain/
6699,Match Medical Symptoms To Products With Openai Qdrant And Google Sheets Rag,https://n8n.io/workflows/6699-match-medical-symptoms-to-products-with-openai-qdrant-and-google-sheets-rag/
6691,Multi Source Rag System With Gpt 4 Turbo News And Academic Papers Integration,https://n8n.io/workflows/6691-multi-source-rag-system-with-gpt-4-turbo-news-and-academic-papers-integration/
6664,Ai Powered Product Research And Price Comparison With Google Search And Openai,https://n8n.io/workflows/6664-ai-powered-product-research-and-price-comparison-with-google-search-and-openai/
6622,Dynamic Mongodb Knowledge Base Chatbot With Openai Gpt,https://n8n.io/workflows/6622-dynamic-mongodb-knowledge-base-chatbot-with-openai-gpt/
6607,Comprehensive Api Integration Suite With Health Webhook Auth And Rate Limit Monitoring,https://n8n.io/workflows/6607-comprehensive-api-integration-suite-with-health-webhook-auth-and-rate-limit-monitoring/
6574,Build Document Rag System With Kimi K2 Gemini Embeddings And Qdrant,https://n8n.io/workflows/6574-build-document-rag-system-with-kimi-k2-gemini-embeddings-and-qdrant/
6549,Automated Slack It Helpdesk With Gpt Supabase Vector Search And Jira Ticketing,https://n8n.io/workflows/6549-automated-slack-it-helpdesk-with-gpt-supabase-vector-search-and-jira-ticketing/
6543,Vectorize Medical Procedures For Semantic Search With Tuss Gemini And Pgvector,https://n8n.io/workflows/6543-vectorize-medical-procedures-for-semantic-search-with-tuss-gemini-and-pgvector/
6542,Build An All Source Knowledge Assistant With Claude Rag Perplexity And Drive,https://n8n.io/workflows/6542-build-an-all-source-knowledge-assistant-with-claude-rag-perplexity-and-drive/
6541,Get Real Time Stock Analysis And Rankings With Danelfins Ai Analytics Api,https://n8n.io/workflows/6541-get-real-time-stock-analysis-and-rankings-with-danelfins-ai-analytics-api/
6538,Company Knowledge Base Agent Rag,https://n8n.io/workflows/6538-company-knowledge-base-agent-rag/
6537,Inbox Manager Gpt Google Calendar And Supabase,https://n8n.io/workflows/6537-inbox-manager-gpt-google-calendar-and-supabase/
6526,Fetch All Page Content From Website And Store With Gemini Embedding In Pinecone,https://n8n.io/workflows/6526-fetch-all-page-content-from-website-and-store-with-gemini-embedding-in-pinecone/
6500,Create A Knowledge Base Chatbot With Openai And Notion For Website Embedding,https://n8n.io/workflows/6500-create-a-knowledge-base-chatbot-with-openai-and-notion-for-website-embedding/
6470,Create A Smart Chatbot Using Openai Gpt And Airtable Knowledge Base,https://n8n.io/workflows/6470-create-a-smart-chatbot-using-openai-gpt-and-airtable-knowledge-base/
6401,Document Based Ai Chatbot With Rag Openai And Cohere Reranker,https://n8n.io/workflows/6401-document-based-ai-chatbot-with-rag-openai-and-cohere-reranker/
6345,Answer Questions From Documents With Rag Using Supabase Openai And Cohere Reranker,https://n8n.io/workflows/6345-answer-questions-from-documents-with-rag-using-supabase-openai-and-cohere-reranker/
6315,Build Rag Powered Whatsapp Chatbots For Docs With Gpt 4O Mini And Mongodb,https://n8n.io/workflows/6315-build-rag-powered-whatsapp-chatbots-for-docs-with-gpt-4o-mini-and-mongodb/
6299,Automated Job Extraction And Publishing With Rag Jina Ai And Openai To Wordpress,https://n8n.io/workflows/6299-automated-job-extraction-and-publishing-with-rag-jina-ai-and-openai-to-wordpress/
6295,Dynamic Website Assistant With Deepseek Ai Pinecone Vectorstore And Site Based Routing,https://n8n.io/workflows/6295-dynamic-website-assistant-with-deepseek-ai-pinecone-vectorstore-and-site-based-routing/
6291,Query Mysql Database With Natural Language Using Gpt Ai,https://n8n.io/workflows/6291-query-mysql-database-with-natural-language-using-gpt-ai/
6288,Ai Email Support System Gmail Gemini Gpt 4 Slack And Google Sheets Workflow,https://n8n.io/workflows/6288-ai-email-support-system-gmail-gemini-gpt-4-slack-and-google-sheets-workflow/
6281,N8N Documentation Expert Chatbot With Openai Rag Pipeline,https://n8n.io/workflows/6281-n8n-documentation-expert-chatbot-with-openai-rag-pipeline/
6250,Create A Knowledge Base Chatbot With Google Drive And Gpt 4O Using Vector Search,https://n8n.io/workflows/6250-create-a-knowledge-base-chatbot-with-google-drive-and-gpt-4o-using-vector-search/
6224,Analyze And Chat With Xml Files Using Gpt And Langchain,https://n8n.io/workflows/6224-analyze-and-chat-with-xml-files-using-gpt-and-langchain/
6212,Build Website Qanda Chatbot With Rag Openai Gpt 4O Mini And Supabase Vector Db,https://n8n.io/workflows/6212-build-website-qanda-chatbot-with-rag-openai-gpt-4o-mini-and-supabase-vector-db/
6211,Process Voice Images And Documents With Gpt 4O Mongodb And Gmail Tools,https://n8n.io/workflows/6211-process-voice-images-and-documents-with-gpt-4o-mongodb-and-gmail-tools/
6198,Generate Linkedin Posts From Books Using Openai Langchain And Pinecone Vector Search,https://n8n.io/workflows/6198-generate-linkedin-posts-from-books-using-openai-langchain-and-pinecone-vector-search/
6169,Gmail Assistant With Full Gmail History Rag Using Openai,https://n8n.io/workflows/6169-gmail-assistant-with-full-gmail-history-rag-using-openai/
6158,Multi Language Telegram Rag Chatbot With Supervisor Ai And Automated Google Drive Pipeline,https://n8n.io/workflows/6158-multi-language-telegram-rag-chatbot-with-supervisor-ai-and-automated-google-drive-pipeline/
