id,title,url
8350,Create A Two Way Whatsapp Telegram Integration For 10K Customer Support Chats,https://n8n.io/workflows/8350-create-a-two-way-whatsapp-telegram-integration-for-10k-customer-support-chats/
8043,Automate Dental Appointments With Google Calendar Ai Assistant And Email Notifications,https://n8n.io/workflows/8043-automate-dental-appointments-with-google-calendar-ai-assistant-and-email-notifications/
7664,Telegram Bot Inline Keyboard With Dynamic Menus And Rating System,https://n8n.io/workflows/7664-telegram-bot-inline-keyboard-with-dynamic-menus-and-rating-system/
7455,Process Multiple Media Files In Telegram With Gemini Ai And Postgresql Database,https://n8n.io/workflows/7455-process-multiple-media-files-in-telegram-with-gemini-ai-and-postgresql-database/
7416,Deploy Ai Powered Website Chatbot With Deepseek And Custom Branding,https://n8n.io/workflows/7416-deploy-ai-powered-website-chatbot-with-deepseek-and-custom-branding/
7405,Ai Powered Whatsapp Support Bot With Ticket Creation For Google Sheets,https://n8n.io/workflows/7405-ai-powered-whatsapp-support-bot-with-ticket-creation-for-google-sheets/
7381,Create A Knowledge Powered Chatbot With Claude Supabase And Postgres,https://n8n.io/workflows/7381-create-a-knowledge-powered-chatbot-with-claude-supabase-and-postgres/
7380,Automate Order Confirmations With Vapi Voice Ai And Timezone Intelligence,https://n8n.io/workflows/7380-automate-order-confirmations-with-vapi-voice-ai-and-timezone-intelligence/
7363,Build A Personalized Shopping Assistant With Zep Memory Gpt 4 And Google Sheets,https://n8n.io/workflows/7363-build-a-personalized-shopping-assistant-with-zep-memory-gpt-4-and-google-sheets/
7323,Restaurant Reservation Management With Openai Gpt And Google Sheets,https://n8n.io/workflows/7323-restaurant-reservation-management-with-openai-gpt-and-google-sheets/
7322,Search And Compare Flights With Deepseek Ai And Google Flights Api,https://n8n.io/workflows/7322-search-and-compare-flights-with-deepseek-ai-and-google-flights-api/
7298,Restaurant Order And Delivery System For Whatsapp With Gpt 4O And Supabase,https://n8n.io/workflows/7298-restaurant-order-and-delivery-system-for-whatsapp-with-gpt-4o-and-supabase/
