id,title,url
8390,Automate Job Post Expiry Reminders With Google Sheets Http Checks And Gmail,https://n8n.io/workflows/8390-automate-job-post-expiry-reminders-with-google-sheets-http-checks-and-gmail/
8335,Employee Attendance Tracker With Telegram Bot And Google Sheets,https://n8n.io/workflows/8335-employee-attendance-tracker-with-telegram-bot-and-google-sheets/
8305,Automate Everhour Time Off Sync To Google Calendar With All Day Events,https://n8n.io/workflows/8305-automate-everhour-time-off-sync-to-google-calendar-with-all-day-events/
8114,Daily Bgv Status Digest Track Verifications With Google Sheets To Gmail Alerts,https://n8n.io/workflows/8114-daily-bgv-status-digest-track-verifications-with-google-sheets-to-gmail-alerts/
7987,Automate Post Interview Feedback Reminders Using Google Sheets Slack And Gmail,https://n8n.io/workflows/7987-automate-post-interview-feedback-reminders-using-google-sheets-slack-and-gmail/
7809,Automate Multi Step Onboarding With Google Sheets Forms And Gmail Notifications,https://n8n.io/workflows/7809-automate-multi-step-onboarding-with-google-sheets-forms-and-gmail-notifications/
7766,Send Automated Recruitment Rejection Email At End Of Day Google Sheets Or Gmail,https://n8n.io/workflows/7766-send-automated-recruitment-rejection-email-at-end-of-day-google-sheets-or-gmail/
7469,Automate Resume Screening With Gmail Gemini Ai And Airtable To Google Sheets,https://n8n.io/workflows/7469-automate-resume-screening-with-gmail-gemini-ai-and-airtable-to-google-sheets/
7456,Automate Cv Screening With Ai Candidate Analysis,https://n8n.io/workflows/7456-automate-cv-screening-with-ai-candidate-analysis/
7401,Automated Phone Interview Evaluation With Vapi Gpt 4O And Google Sheets,https://n8n.io/workflows/7401-automated-phone-interview-evaluation-with-vapi-gpt-4o-and-google-sheets/
7185,Automate Contract Employee Lifecycle With Google Docs Docusign And Airtable,https://n8n.io/workflows/7185-automate-contract-employee-lifecycle-with-google-docs-docusign-and-airtable/
7169,Automated Recruitment Process With Slack Docusign Trello And Gmail Notifications,https://n8n.io/workflows/7169-automated-recruitment-process-with-slack-docusign-trello-and-gmail-notifications/
7040,Automate Job Search And Curation With Jsearch Api And Google Sheets,https://n8n.io/workflows/7040-automate-job-search-and-curation-with-jsearch-api-and-google-sheets/
6971,Automate Passive Candidate Sourcing And Engagement With Hunterio Ai Scoring And Gmail,https://n8n.io/workflows/6971-automate-passive-candidate-sourcing-and-engagement-with-hunterio-ai-scoring-and-gmail/
6901,Create A Complete Hr Department With Openai O3 And Gpt 41 Mini Multi Agent System,https://n8n.io/workflows/6901-create-a-complete-hr-department-with-openai-o3-and-gpt-41-mini-multi-agent-system/
6897,Automate Cv Screening And Analysis With Telegram Gemini Ai And Google Workspace,https://n8n.io/workflows/6897-automate-cv-screening-and-analysis-with-telegram-gemini-ai-and-google-workspace/
6835,Ai Powered Cv Extractor Google Drive To Sheet With Gpt 4 Slack For Recruiters,https://n8n.io/workflows/6835-ai-powered-cv-extractor-google-drive-to-sheet-with-gpt-4-slack-for-recruiters/
6774,Automate Construction Site Attendance Tracking With Geofencing Google Sheets And Email Alerts,https://n8n.io/workflows/6774-automate-construction-site-attendance-tracking-with-geofencing-google-sheets-and-email-alerts/
6767,Generate Tailored Interview Questions With Gpt 4 Based On Cv Jd And Round,https://n8n.io/workflows/6767-generate-tailored-interview-questions-with-gpt-4-based-on-cv-jd-and-round/
6696,Ai Powered Cv Filtering With Llama31 Llm Google Drive And Sheets,https://n8n.io/workflows/6696-ai-powered-cv-filtering-with-llama31-llm-google-drive-and-sheets/
6683,Send Interview Reminders 10 Minutes From Google Calendar To Slack Dms,https://n8n.io/workflows/6683-send-interview-reminders-10-minutes-from-google-calendar-to-slack-dms/
6680,Bulk Resume Screening And Jd Matching With Gpt 4 For Hr Teams,https://n8n.io/workflows/6680-bulk-resume-screening-and-jd-matching-with-gpt-4-for-hr-teams/
6612,Ai Resume Screening And Evaluation For Hr With Gpt 4 And Google Workspace,https://n8n.io/workflows/6612-ai-resume-screening-and-evaluation-for-hr-with-gpt-4-and-google-workspace/
6609,Ai Powered Recruitment System For Resume Screening And Automated Outreach With Gpt 4,https://n8n.io/workflows/6609-ai-powered-recruitment-system-for-resume-screening-and-automated-outreach-with-gpt-4/
6608,Transform Resumes Into Ai Generated Personal Video Intros With Heygen And Gpt,https://n8n.io/workflows/6608-transform-resumes-into-ai-generated-personal-video-intros-with-heygen-and-gpt/
6566,Automate Daily Interview Schedule Delivery From Google Calendar To Gmail,https://n8n.io/workflows/6566-automate-daily-interview-schedule-delivery-from-google-calendar-to-gmail/
6518,Automatic Job Listings Extraction And Publishing Template,https://n8n.io/workflows/6518-automatic-job-listings-extraction-and-publishing-template/
6418,Automate Cv Screening And Applicant Scoring From Gmail To Airtable With Ai,https://n8n.io/workflows/6418-automate-cv-screening-and-applicant-scoring-from-gmail-to-airtable-with-ai/
6391,Ai Powered Automated Job Search And Application,https://n8n.io/workflows/6391-ai-powered-automated-job-search-and-application/
6371,Job Scraping Using Linkedin Indeed Bright Data Google Sheets,https://n8n.io/workflows/6371-job-scraping-using-linkedin-indeed-bright-data-google-sheets/
6360,Automated Recruitment Status Updates Via Slack Notifications,https://n8n.io/workflows/6360-automated-recruitment-status-updates-via-slack-notifications/
6326,Parse Cvs From Emails With Ocr And Gpt For Notion Database,https://n8n.io/workflows/6326-parse-cvs-from-emails-with-ocr-and-gpt-for-notion-database/
