id,title,url
7426,Auto Respond To Slack Messages As Yourself Using Gpt And Google Docs Rag,https://n8n.io/workflows/7426-auto-respond-to-slack-messages-as-yourself-using-gpt-and-google-docs-rag/
7391,Query Business Data From Uniconta Erp With Openai Chatbot Via Peliqan,https://n8n.io/workflows/7391-query-business-data-from-uniconta-erp-with-openai-chatbot-via-peliqan/
7385,Email To Notion Knowledge Base With Imap Postgres Dedup And Telegram Alert,https://n8n.io/workflows/7385-email-to-notion-knowledge-base-with-imap-postgres-dedup-and-telegram-alert/
7371,Rag Powered Document Chatbot With Openai And Gemini For Multi Format Documents,https://n8n.io/workflows/7371-rag-powered-document-chatbot-with-openai-and-gemini-for-multi-format-documents/
7315,Query Business Data From Cin7 Erp With Openai Chatbot Via Peliqan,https://n8n.io/workflows/7315-query-business-data-from-cin7-erp-with-openai-chatbot-via-peliqan/
7309,Ai Multi Source Agent With Gpt 4 Perplexity Search Supabase And Google Sheets,https://n8n.io/workflows/7309-ai-multi-source-agent-with-gpt-4-perplexity-search-supabase-and-google-sheets/
7308,Chat With Documents Via Rag Google Drive To Gpt 5 With Supabase Vector Database,https://n8n.io/workflows/7308-chat-with-documents-via-rag-google-drive-to-gpt-5-with-supabase-vector-database/
7171,Build A Glpi Knowledge Base Rag Pipeline With Google Gemini And Postgresql,https://n8n.io/workflows/7171-build-a-glpi-knowledge-base-rag-pipeline-with-google-gemini-and-postgresql/
6994,Build A Retrieval Based Chatbot With Telegram Openai And Google Drive Pdf Backup,https://n8n.io/workflows/6994-build-a-retrieval-based-chatbot-with-telegram-openai-and-google-drive-pdf-backup/
6894,Chat With Internal Documents Using Ollama Supabase Vector Db And Google Drive,https://n8n.io/workflows/6894-chat-with-internal-documents-using-ollama-supabase-vector-db-and-google-drive/
6887,Enhance Ai Chatbot Responses With Infranodus Knowledge Graph Reasoning And Graphrag,https://n8n.io/workflows/6887-enhance-ai-chatbot-responses-with-infranodus-knowledge-graph-reasoning-and-graphrag/
6745,Generate Bigquery Sql From Natural Language Queries Using Gpt 4O Chat,https://n8n.io/workflows/6745-generate-bigquery-sql-from-natural-language-queries-using-gpt-4o-chat/
6706,Query Business Data With Openai Chatbot Using Rag And Text To Sql Via Peliqan,https://n8n.io/workflows/6706-query-business-data-with-openai-chatbot-using-rag-and-text-to-sql-via-peliqan/
6657,Process Voice Notes To Ai Responses With Claude Sonnet Nuclino And Slack,https://n8n.io/workflows/6657-process-voice-notes-to-ai-responses-with-claude-sonnet-nuclino-and-slack/
6624,Query And Answer Questions From Excel Spreadsheets With Gpt 4 Mini,https://n8n.io/workflows/6624-query-and-answer-questions-from-excel-spreadsheets-with-gpt-4-mini/
6622,Dynamic Mongodb Knowledge Base Chatbot With Openai Gpt,https://n8n.io/workflows/6622-dynamic-mongodb-knowledge-base-chatbot-with-openai-gpt/
6604,Ai Chatbot With Openai Gpt 41 Mini And Supabase Database Knowledge Base,https://n8n.io/workflows/6604-ai-chatbot-with-openai-gpt-41-mini-and-supabase-database-knowledge-base/
6542,Build An All Source Knowledge Assistant With Claude Rag Perplexity And Drive,https://n8n.io/workflows/6542-build-an-all-source-knowledge-assistant-with-claude-rag-perplexity-and-drive/
