id,title,url
7926,Check Suspicious Links Via Telegram With Gpt 4 Analysis Of Virustotal And Urlscanio Results,https://n8n.io/workflows/7926-check-suspicious-links-via-telegram-with-gpt-4-analysis-of-virustotal-and-urlscanio-results/
7864,Track Policy Expiry Dates And Ownership With Google Sheets And Gmail Notifications,https://n8n.io/workflows/7864-track-policy-expiry-dates-and-ownership-with-google-sheets-and-gmail-notifications/
7858,Automate Risk Treatment Tasks With Google Sheets For Grc Compliance,https://n8n.io/workflows/7858-automate-risk-treatment-tasks-with-google-sheets-for-grc-compliance/
7598,Iam Compliance Automation Enforce Mfa And Clean Up Access Keys In Aws,https://n8n.io/workflows/7598-iam-compliance-automation-enforce-mfa-and-clean-up-access-keys-in-aws/
7501,Send Slack Alerts For Aws Iam Access Keys Older Than 365 Days,https://n8n.io/workflows/7501-send-slack-alerts-for-aws-iam-access-keys-older-than-365-days/
7500,Monitor And Alert On Inactive Aws Iam Users With Slack Notifications,https://n8n.io/workflows/7500-monitor-and-alert-on-inactive-aws-iam-users-with-slack-notifications/
7490,Auto Renew Aws Certificates With Slack Approval Workflow,https://n8n.io/workflows/7490-auto-renew-aws-certificates-with-slack-approval-workflow/
7453,Prevent Prompt Injection Attacks With A Gpt 4O Security Defense System,https://n8n.io/workflows/7453-prevent-prompt-injection-attacks-with-a-gpt-4o-security-defense-system/
7349,Cyberpulse Ai Grc Automate Security Questionnaire Responses,https://n8n.io/workflows/7349-cyberpulse-ai-grc-automate-security-questionnaire-responses/
7226,Automated Wazuh Rule Deployment Pipeline With Github Xml Validation And Telegram Alerts,https://n8n.io/workflows/7226-automated-wazuh-rule-deployment-pipeline-with-github-xml-validation-and-telegram-alerts/
7225,Automate Ai Vulnerability Monitoring With Gpt 4 And Servicenow Incident Creation,https://n8n.io/workflows/7225-automate-ai-vulnerability-monitoring-with-gpt-4-and-servicenow-incident-creation/
7224,Automate Cve Monitoring With Openai Processing For Servicenow Security Incidents,https://n8n.io/workflows/7224-automate-cve-monitoring-with-openai-processing-for-servicenow-security-incidents/
